name;description;inferred_stereotype
Set Colection;A game mechanic where players aim to collect specific groups of items or cards to score points or trigger special effects.;kind
Risky play;Actions or strategies that have the potential for high rewards but also carry a significant chance of negative consequences.;kind
Helplessness;A feeling of powerlessness and inability to affect the outcome of a situation, which can be a negative experience in games.;subkind
Acquire information;The process of gaining knowledge or insight within a game, often crucial for making informed decisions.;kind
Alliance;A temporary or strategic agreement between players to cooperate, often for mutual benefit or to overcome a common opponent.;kind
Argumentativeness;A tendency to engage in debates or disagreements, potentially influencing social dynamics and negotiation in games.;subkind
Memory;The ability to recall information, often a crucial skill in games involving hidden information, pattern recognition, or strategic planning.;quality
Vengefulness;A desire for retribution or revenge, often influencing player behavior and leading to cycles of retaliation in games.;subkind
Resource;Anything that can be used to gain an advantage in a game, such as money, materials, or information.;kind
Abhorrence;A feeling of intense disgust and loathing, potentially elicited by morally reprehensible actions or disturbing themes in games.;subkind
Count resources;The act of keeping track of available resources, essential for strategic planning and decision-making in many games.;kind
Point-toPointMovement;A movement mechanic where pieces or characters move along predefined paths or between specific points on a board or map.;kind
Dislike;A feeling of mild aversion or disapproval, potentially influencing player interactions and social dynamics.;subkind
Data Representation;The way information is presented and visualized within a game, affecting player understanding and decision-making.;kind
Annoyance;A mild feeling of irritation or frustration, potentially arising from minor setbacks or repetitive gameplay elements.;subkind
Grief;A deep sorrow often associated with loss, potentially experienced in games with strong narratives or character attachments.;subkind
Distaste;A feeling of aversion or disapproval, often stronger than dislike and elicited by something perceived as unpleasant or offensive.;subkind
Rock-Paper-Scizors;A game mechanic based on a cyclical system of advantage, where each option has strengths and weaknesses against others.;kind
Resignation;A state of acceptance of an undesirable outcome, often accompanied by feelings of defeat or apathy.;subkind
Compound Emotions;Experiences where multiple emotions are felt simultaneously, adding complexity and nuance to player responses.;kind
Protection;A game mechanic or action that mitigates or prevents negative effects, often associated with defense or risk management.;kind
Stock Holding;A game mechanic where players can buy, sell, or hold shares in companies or assets, often simulating economic principles.;kind
Rush the game;An aggressive strategy focused on quickly achieving victory, often at the expense of long-term planning or defense.;kind
Reject objectives;The act of intentionally not pursuing certain goals or tasks, potentially part of a strategic decision or risk assessment.;kind
Collecting;A game mechanic focused on gathering specific items, often to complete sets, gain points, or unlock abilities.;kind
All versus one;A game structure where all players cooperate against a single player who often has unique abilities or objectives.;kind
Dynamics;The interplay of forces, actions, and reactions within a game system, shaping how it evolves and responds to player choices.;kind
Misery;A state of extreme unhappiness and suffering, potentially evoked by loss, failure, or bleak themes in games.;subkind
Bitterness;A resentful feeling associated with unfair treatment or negative experiences, potentially influencing player interactions.;subkind
Bluffing;A deceptive tactic where players try to mislead others about their intentions, resources, or knowledge.;kind
Combo;A powerful combination of actions or effects, often achieved by chaining together mechanics or exploiting synergies.;kind
Player Elimination;A game mechanic where players can be removed from the game, often permanently, due to specific conditions or actions.;kind
Voting;A decision-making mechanic where players cast votes to determine an outcome, often used in social deduction or cooperative games.;kind
Greed;An excessive desire for resources, power, or possessions, often driving competitive behavior and risky decisions.;subkind
Sensory Pleasure;Enjoyment derived from the stimulation of senses, such as visuals, sounds, or tactile feedback in games.;kind
Amusement;A feeling of lighthearted enjoyment and entertainment, often evoked by humorous or playful elements.;subkind
Sacrifice;The act of giving up something valuable for a greater good or to achieve a strategic advantage.;kind
Repugnance;Intense disgust and aversion, often elicited by actions or themes perceived as morally wrong or offensive.;subkind
Blocking;A defensive tactic used to prevent an opponent from taking a desired action or moving to a specific location.;kind
Survival_D;Games with a focus on survival against threats, often involving resource management, danger avoidance, and strategic decision-making.;kind
Impulse;A sudden urge or desire to act without thinking, potentially leading to risky or unplanned decisions.;subkind
Draft;A game mechanic where players take turns selecting from a shared pool of resources, cards, or units.;kind
Acting;The performance of a role or character, often featured in role-playing games or social deduction games.;kind
Anxiety;A feeling of unease, worry, or fear, often induced by uncertainty, high stakes, or time pressure in games.;subkind
Pick-up and Delivery;A game mechanic where players transport goods or resources between locations, often optimizing routes and managing logistics.;kind
Desperation;A state of despair and urgency, often experienced when facing imminent loss or failure.;subkind
Loathing;Intense hatred and disgust, often directed towards antagonists or morally reprehensible actions in games.;subkind
Modular Board;A game board made up of interchangeable tiles or sections, creating variable setups and replayability.;kind
Exasperation;A feeling of intense irritation and frustration, often caused by repeated failures or obstacles.;subkind
Hopelessness;A complete lack of hope, often experienced when facing insurmountable odds or inevitable defeat.;subkind
Game state change;Any alteration to the current status of the game, including player resources, positions, or available actions.;event
Partnership;A cooperative relationship between two or more players, often involving shared goals and resources.;kind
Revulsion;Intense disgust and loathing, often triggered by disturbing or morally reprehensible content.;subkind
Discouragement;A loss of confidence or enthusiasm, often resulting from setbacks or perceived difficulty.;subkind
Take That;A game mechanic where players can directly and negatively impact opponents' positions, often through attacks or sabotage.;kind
Line Drawing;A game mechanic where players draw lines or connect dots to create shapes, enclose areas, or complete objectives.;kind
Pattern Building;A game mechanic where players arrange elements in specific configurations to score points, trigger effects, or solve puzzles.;kind
Pattern;A recurring and recognizable arrangement or sequence, often central to puzzle-solving, strategy, or aesthetic appreciation.;kind
Expression;The act of conveying thoughts, feelings, or creativity, often facilitated through role-playing, storytelling, or creative game mechanics.;kind

Independent Goverment;A governing body that operates autonomously, free from external control, typically implying sovereignty.;kind
Land Part;A portion of land that is part of a larger territory.;subkind
Rule;An established regulation or guideline that governs behavior, action, or procedure.;kind
Social Contract;An implicit agreement among members of a society to cooperate for social benefits, typically involving a balance of individual freedom and collective good.;kind
Claim;An assertion of a right or title to something.;kind
State;A political unit with a defined territory, population, government, and sovereignty.;kind
Familiar Society;A type of society characterized by close kinship ties and shared traditions.;subkind
Sketched Border;A preliminary or imprecise boundary marking a territory.;phase
Society Claim;An assertion of right or title made by a society, often related to territory or resources.;subkind
Territory;A geographical area under the jurisdiction of a ruler or state.;kind
Object of Contract;The subject matter or purpose that a contract addresses or governs.;role
Aerial Part;The portion of a territory that exists in the airspace above the land and water.;subkind
Political Society;A society organized around the exercise of political authority and governance.;subkind
State Commitment;A pledge or obligation undertaken by a state.;subkind
Ruler;A person exercising government or dominion.;role
Individual;A single human being as distinct from a group.;kind
Live Border;A border that is actively monitored and enforced.;phase
Legal System;A system of rules that a particular country or community recognizes as regulating the actions of its members and which it may enforce by the imposition of penalties.;kind
Dead Border;A border that is not actively monitored or enforced.;phase
Supremacy of Power;The state of having ultimate authority and power, typically within a defined jurisdiction.;quality
Rulee;A person or entity subject to a rule or set of rules.;role
State Claim;An assertion of right or title made by a state.;subkind
Commitment;The state or quality of being dedicated to a cause, activity, etc.;quality
Population;All the inhabitants of a particular town, area, or country.;collective
Religious Society;A type of society structured around shared religious beliefs and practices.;subkind
Border Part;A section or segment of a border.;subkind
Norm;A standard or pattern, especially of social behavior, that is typical or expected.;kind
Educational Society;A type of society that prioritizes education and learning.;subkind
Society;The aggregate of people living together in a more or less ordered community.;kind
Principal;A person with the highest authority or most important position in an organization, institution, or group.;role
Terrritorial Waters Part;A portion of water under the jurisdiction of a state, typically extending from its coast.;subkind
Public Asset;A resource or property owned or controlled by the government and accessible to the public.;kind
Society Commitment;A pledge or obligation undertaken by a society.;subkind

Legal Representative;An individual authorized to act on behalf of another entity in legal matters.;role
Service Batch;A group of services offered together as a single unit.;collective
Service Tender;A competitive bidding process for procuring services.;subkind
Publication Context;The circumstances or setting in which something is published.;situation
Tender in Qualification;A stage in the tender process where bidders are evaluated based on their qualifications.;phase
Power of Attorney;A legal document granting authority to one person to act on behalf of another.;kind
Permission Grant Contract;A legally binding agreement granting permission for a specific activity.;kind
Concession Tender;A competitive bidding process for awarding a concession.;subkind
Tender;A formal offer to supply goods or services at a stated price.;kind
Warranty;A written guarantee promising to repair or replace a product if faulty.;kind
Public Hearing;A formal meeting where the public can express their views on a proposed action.;event
Call for Tender;A public invitation to submit bids for a project or contract.;event
Service Batch in Auction;A group of services being auctioned together as a single unit.;roleMixin
Permission Tender in External Phase;A permission tender that is in a phase involving external parties.;phase
Lease Tender;A competitive bidding process for leasing property or assets.;subkind
General Proposal;An initial proposal that outlines the general scope of a project.;subkind
Legal Representative in Tender Process;A legal representative participating in a tender process.;roleMixin
Economic Proposal;A proposal outlining the financial aspects of a project.;subkind
Grant Committee;A group responsible for reviewing and awarding grants.;collective
Qualification in General Proposal;The qualification requirements outlined in a general proposal.;roleMixin
Economic Proposal in Specific Proposal;The economic aspects detailed within a specific proposal.;roleMixin
Tender in Homologation Process;A tender undergoing the homologation process (official approval).;phase
Proposal;A plan or suggestion put forward for consideration.;kind
Person;A human being.;kind
Tender in External Phase;A tender in a phase involving external parties or interactions.;phase
Committee;A group of people appointed for a specific function.;collective
Published Call for Tender;A call for tender that has been made public.;roleMixin
Call for Tender Publication;The act of making a call for tender public.;event
Tender Without Winner;A tender that did not result in a winning bid.;roleMixin
Bussiness Plan in Specific Proposal;A business plan included as part of a specific proposal.;roleMixin
Tender in Proposal Reviewing;A tender that is currently being reviewed.;phase
Permission Tender in Auction;A permission tender being awarded through an auction.;roleMixin
Disposal Tender;A tender for the disposal of assets or property.;subkind
Permission Grant;The act of granting permission for something.;event
Completed Tender;A tender process that has been finished.;phase
Winner of Public Auction;The entity that won a public auction.;role
Company Participant of Public Auction;A company participating in a public auction.;roleMixin
Session of Public Auction;A specific period during which a public auction takes place.;phase
Failed Tender;A tender that was unsuccessful or did not meet requirements.;roleMixin
Bidder Registration;The process of registering as a bidder for a tender.;event
Call for Tender Republication;The act of republishing a call for tender.;event
Nomination of Representative;The act of appointing someone as a representative.;event
Grant Committee Nomination Ordinance;A rule or law governing the nomination of grant committee members.;kind
Batch Group;A collection or category of batches.;collective
Homologation of Public Auction;The official approval of a public auction.;event
Bidder in Auction;An entity participating as a bidder in an auction.;roleMixin
Auction for Public Tender;An auction held for the purpose of awarding a public tender.;subkind
Construction Tender;A tender for construction projects.;subkind
Auction;A public sale in which goods or property are sold to the highest bidder.;kind
Republication;The act of publishing something again.;event
Anulled Tender;A tender that has been declared invalid.;roleMixin
Publication;The act of making something publicly known.;event
Qualification;A quality or accomplishment that makes someone suitable for a particular job or activity.;kind
Empty Tender;A tender that did not receive any bids.;roleMixin
Proof of Fleet in General Proposal;Documentation proving the existence and capabilities of a fleet, submitted with a general proposal.;roleMixin
Suspended Tender;A tender that has been temporarily halted.;phase
Tender in Internal Phase;A tender in a phase involving only internal processes.;phase
Bussiness Plan;A formal statement of business goals, reasons they are achievable, and plans for reaching them.;kind
Company;A commercial business.;kind
Published Object;An object that has been made public.;roleMixin
Grant Committee Nomination;The act of nominating someone to a grant committee.;event
Tended With Winner;A tender that has resulted in a winner.;roleMixin
Permission Tender;A tender for obtaining a permission.;subkind
Batch in Auction;A batch that is being auctioned.;roleMixin
Warranty in General Proposal;A warranty that is included as part of a general proposal.;roleMixin
Proof of Fleet;Documentation or evidence demonstrating the existence and capabilities of a fleet.;kind
Specific Proposal;A detailed proposal that provides specific information about a project.;subkind
Tender in Call for Tender;A tender that has been submitted in response to a call for tender.;phase
Bidder;A person or organization that makes a formal offer for something.;role
Public Auction;An auction that is open to the public.;subkind
Purchase Tender;A tender for the purchase of goods or services.;subkind

Benefit-specific valuation;An approach to valuation that focuses on the benefits that an object or service provides to a specific agent.;subkind
Agent;An entity that can act upon or influence the world, possessing goals, beliefs, and the ability to make choices.;category
Benefit value;The perceived positive impact, gain, or advantage that an agent derives from an object or service.;quality
Preference;An agent's inclination or relative liking for one object or outcome over another.;mode
Theoretical value;An abstract or idealized value assigned to an object or service based on objective criteria or a formal model, often independent of specific contexts or individual preferences.;quality
Object kind;A category or type of object that shares essential characteristics. It's unclear without further context if this refers to the broader category of objects being valued or something more specific.;kind
Theoretical valuation relationship;The relationship between an object and its theoretical value, determined by a set of predefined rules or principles.;relator
Context involvement relationship;The connection between a valuation process and the specific context in which it occurs, highlighting the influence of situational factors.;relator
VO's quality;A general term referring to any inherent attribute or characteristic of a Value Object. This needs further specification to be meaningful.;quality
Value Object;An entity that holds significance, worth, or utility as perceived by an agent within a particular context.;roleMixin
Cost value;The perceived negative impact, loss, or sacrifice associated with obtaining, using, or disposing of an object or service.;quality
Context;The specific circumstances, environment, or situation surrounding an action, event, or process, potentially influencing its interpretation or outcome.;situation
Perceived value;The subjective assessment of worth or importance that an agent assigns to an object or service based on their individual experiences, beliefs, and needs.;quality
VO's functional quality;An attribute of a Value Object relating to its inherent capabilities, performance, or effectiveness in fulfilling its intended purpose.;quality
Quality domain;A specific aspect, dimension, or category used for evaluating and classifying qualities, providing a framework for comparison.;subkind
VO's non-functional quality;An attribute of a Value Object pertaining to aspects beyond its core functionality, such as aesthetics, usability, or emotional impact.;quality
Desire;A strong feeling of wanting to have something or wishing for something to happen.;mode
Cost-specific valuation;An approach to valuation that focuses on the costs associated with an object or service, often considering factors like production expenses or opportunity costs.;subkind

Gradable NFR;A non-functional requirement that can be measured or graded on a scale.;subkind
Function;A specific piece of functionality or behavior that a system must exhibit.;kind
Softgoal;A goal that is desirable but not essential to achieve.;subkind
Quality Universal;A universal quality that applies to all systems or entities.;category
Goal;A desired outcome or state that a system or entity aims to achieve.;kind
Gradable Quality Region;A specific range or region within a quality scale that can be graded.;phase
Vague NFR;A non-functional requirement that is not clearly defined or specified.;subkind
Quality Structure;The structure or organization of qualities within a system or domain.;kind
Quality Constraint;A restriction or limitation on a quality.;role
Crisp Quality Region;A clearly defined and unambiguous region within a quality scale.;phase
Quality Value;A specific value or measurement of a quality.;role
Functional Requirement;A requirement that specifies a function that a system or component must be able to perform.;kind
Quality Region;A specific range or area within a quality scale.;kind
NFR (Quality Goal);A non-functional requirement that expresses a desired quality goal.;subkind
Situation;A set of circumstances in which something happens or exists.;situation
Hardgoal;A goal that must be achieved for a system or entity to be considered successful.;subkind
Quality;A characteristic or attribute of something.;quality
Intention;"A thing intended; an aim or plan.";category

Acessible Digital Platform;A digital platform that can be easily accessed by users.;subkind

Committed Service Customer;A customer who has made a commitment to engage in a service agreement.;role
Service Customer Commitment;The commitment made by a customer to engage in a service agreement.;relator
Service Delivery;The process of providing a service to a customer.;process
Service Offering;A type of service being offered to potential customers.;kind
Service Offer;A specific proposal for a service agreement made to a customer.;kind
Service Provider On Negotiation;A service provider engaged in the negotiation of a service agreement.;role
Hired Service Provider;A service provider that has been hired to provide a service.;role
Service Provider;An entity that provides services to customers.;role
Customer Action;An action taken by a customer.;event
Target Customer;The intended recipient or beneficiary of a service.;role
Service Offering Description;A description of a service offering.;mode
Agent;An entity that can act or perform actions.;category
Service Agreement;A formal agreement between a service provider and a customer.;kind
Service Customer;A customer seeking or receiving a service.;role
Hired Provider Commitment;The commitment made by a hired provider in a service agreement.;relator
Target Customer Community;A group of target customers with shared interests or characteristics.;collective
Service Offering Claim;An assertion or statement made about a service offering.;mode
Target Customer On Negotiation;A target customer engaged in the negotiation of a service agreement.;role
Service Offering Commitment;A commitment or guarantee associated with a service offering.;mode
Service Negotiation;The process of negotiating a service agreement.;process
Hired Provider Claim;An assertion or statement made by a hired service provider.;mode
Hired Provider-Customer Interaction;An interaction between a hired service provider and a customer.;event
Service Agreement Description;A description of a service agreement.;mode
Service Customer Claim;An assertion or statement made by a service customer.;mode
Specialized Service Agreement;A specific type or category of service agreement.;subkind
Claimed Hired Provider;A hired service provider that has been claimed or selected.;role
Hired Provider Action;An action performed by a hired service provider.;event

Analyst;A person who conducts analysis, typically of data.;role
Sequence;A continuous or connected series of elements, especially characters or numbers.;kind
Animal;A living organism belonging to the kingdom Animalia.;kind
Project Participant;An individual involved in a particular project.;role
Adenine;A purine base, one of the four bases in DNA and RNA.;subkind
Amino Acid Type;A category of amino acids, the building blocks of proteins.;type
Uracil;A pyrimidine base found in RNA (in place of thymine).;subkind
Sequence Deposition;The process of submitting or depositing sequence data to a database.;event
Cytosine;A pyrimidine base, one of the four bases in DNA and RNA.;subkind
Data Stewardship;The responsible management and oversight of data.;role
Coding Region;A portion of a DNA or RNA sequence that codes for a protein.;subkind
Virus Sequence;The genetic sequence of a virus.;subkind
Animal Species;A group of closely related animals capable of interbreeding.;subkind
Guanine;A purine base, one of the four bases in DNA and RNA.;subkind
Amino Acid;The building blocks of proteins.;kind
Author;A person who creates or originates something, such as a book or a scientific study.;role
Virus Infected Tissue;Tissue that has been infected by a virus.;roleMixin
Virus Sequencing;The process of determining the order of nucleotides in a virus's genome.;event
Person;A human being.;kind
Reference Sequence;A standard sequence used for comparison.;subkind
Sequencing Platform;The technology or equipment used for sequencing.;kind
Translation;The process of creating proteins from an mRNA template.;event
Sequencing Laboratory;A laboratory where sequencing is performed.;subkind
Virus Sequencing Publication;A publication about virus sequencing research.;subkind
Journal Issue;A particular issue of a journal.;kind
Viral Disease Type;A category of viral diseases.;type
Living Host;A living organism that serves as a host for a virus or other organism.;roleMixin
Assembling Laboratory;A laboratory where genome assembly is performed.;subkind
Nucleotide;The basic building block of DNA and RNA.;kind
Bat;A nocturnal flying mammal.;subkind
Sampling Laboratory;A laboratory where samples are collected and processed.;subkind
In Vitro Host;A host system outside of a living organism (e.g., cell culture).;roleMixin
Research Affiliation;An affiliation with a research institution or group.;relator
Publication;A published work, such as a journal article or book.;kind
Read;A sequence read generated by a sequencing instrument.;kind
Variant Analysis;The analysis of genetic variants.;event
Codon;A sequence of three nucleotides that code for an amino acid.;kind
Variant Type;A category of genetic variants.;type
Researcher;A person who conducts research.;role
Virus;An infectious agent that replicates only inside the living cells of an organism.;kind
Sequence Database;A database that stores sequence data.;subkind
Research Laboratory;A laboratory where research is conducted.;subkind
Virus Sequencing Endeavor;A project or effort focused on sequencing viruses.;subkind
Viral Infection;The invasion and multiplication of viruses in a host.;event
Virus Host;An organism that a virus infects.;roleMixin
Analyst Affiliation;The affiliation of an analyst.;relator
Project Participation;The act of participating in a project.;relator
Biological Tissue Type;A category of biological tissues.;type
Cell Line;A population of cells from a multicellular organism.;kind
Virus Collective;A group or collection of viruses.;collective
Viral Response;The response of an organism to viral infection.;event
Organization;A group of people with a common purpose.;kind
Tissue Sampling;The process of collecting tissue samples.;event
Genomic Assembly Method;A method used for assembling genomes.;kind
Virus Species;A group of closely related viruses.;subkind
Protein;Large biomolecules essential for many biological functions.;kind
Leucine;An essential amino acid.;subkind
Biological Tissue;A collection of similar cells in a multicellular organism.;kind
Codon Type;A category of codons.;type
Variant;A form or version of something that differs in some respect from other forms of the same thing or from a standard.;kind
Regular Sequence;A sequence that follows a predictable pattern.;subkind
Threonine;An essential amino acid.;subkind
Biological Species;A group of organisms capable of interbreeding and producing fertile offspring.;subkind
Viral Disease;A disease caused by a virus.;subkind
Biological Organism;A living entity.;kind
Arginine;A semi-essential amino acid.;subkind
Thymine;A pyrimidine base found in DNA.;subkind
Molecule Type;A category of molecules.;type
Virus Raw Data;Raw data generated from virus sequencing.;subkind
Full Consensus Sequence;A complete sequence representing the consensus of multiple reads.;subkind
Genome Assembly;The process of assembling a genome from fragments.;event
Sampled Animal;An animal from which samples have been collected.;roleMixin
Biological Data Institution;An institution that manages and shares biological data.;subkind
Sample Sequencing;The sequencing of a sample.;event
Nucleotide Subsequence;A continuous part of a nucleotide sequence.;subkind
Proline;A non-essential amino acid.;subkind

Documento;A formal record or piece of information, typically written, that provides evidence or information about something.;kind
Profissional de Saúde;A trained and licensed individual who provides healthcare services, such as a doctor, nurse, or therapist.;role
Paciente;A person receiving medical treatment.;role
Unidade de Saúde;A facility that provides healthcare services, such as a hospital, clinic, or doctor's office.;kind
Consulta Médica;A scheduled meeting between a patient and a healthcare professional to discuss health concerns and receive medical advice or treatment.;event
Pessoa;A human being.;kind
Região;A geographical area or division, often with loosely defined boundaries.;kind

Autonomy Requirement;A requirement that ensures the ability of an entity to act independently.;subkind
UFO:Quality Value;This seems like an incomplete phrase. It might refer to the value of a quality within the UFO ontology. More context is needed.
COVER:Gain Event;An event within the context of 'COVER' (further definition needed) that results in a positive outcome or acquisition.;event
Justice Requirement;A requirement ensuring fairness and impartiality.;subkind
Nonmaleficense Requirement;A requirement to avoid causing harm.;subkind
NFR:Quality Requirement;A non-functional requirement related to a specific quality attribute. More context on 'NFR' is needed.;subkind
UFOC:Goal;A goal within the context of 'UFOC' (likely referring to a specific ontology or framework).;role
UFO:Quality;A quality within the UFO ontology. Without further specification, it remains general.;quality
Explicability Requirement;A requirement for something to be understandable or justifiable.;subkind
COVER:Loss Event;An event in the 'COVER' context (definition needed) leading to a negative outcome or loss.;event
UFO:Agent;An entity within the UFO ontology that has the capacity to act.;role
Intention;An aim or plan guiding an action.;kind
Nonmaleficence Requirement;(Duplicate) A requirement to avoid causing harm.;subkind
NFR:Requirement;A general non-functional requirement (specific 'NFR' context needed).;subkind
Beneficence Requirement;A requirement to act in the best interest of others.;subkind
Ethical Requirement;A requirement related to moral principles and values.;subkind
UFO:Quality Universal;A quality within the UFO ontology that applies universally.;quality
UFO: Quality Region;A quality within the UFO ontology that is specific to a particular region or scope.;quality
Beneficence Intention;An intention aimed at doing good or bringing about positive outcomes.;subkind
Nonmaleficence Intention;An intention to avoid causing harm or negative consequences.;subkind

HouseHold;A group of people living together in a single dwelling, often as a family unit.;collective
Agent;An entity that can act or initiate actions, possessing agency within a system.;category
Resident;A person who lives in a particular place, typically a house or an area, for a significant period.;role
ServiceCenter Agent;An agent representing or acting on behalf of a service center.;role
Intention;"A plan or aim that guides actions; a mental state representing a commitment to carrying out an action or actions in the future.";category
social agent;An agent that interacts with other agents or within a social system, often exhibiting social behaviors or fulfilling social roles.;roleMixin
LandOwner;A person or entity that legally owns a piece of land.;role
EstateOwner;A person or entity that owns an estate, which could refer to a large piece of land with a house or multiple properties.;role
Landlord;A person or entity that owns a property (typically residential) and rents it out to tenants.;role
LandManager;A person or entity responsible for managing land, which can include tasks like maintenance, development, or administration.;role
PhysicalAgent;An agent that has a physical embodiment or presence in the world.;roleMixin
Organization;A group of people who work together for a shared purpose, often with defined roles and structures.;kind

Parenthood;The state of being a parent.;role
Seeking for employment;The state of actively looking for a job.;phase
Master Degree Student;A person pursuing a master's degree.;role
Secondary School Student;A person attending secondary school.;role
Citizen's Role;The function or part played by a citizen in society.;role
Child;A young human being below the age of puberty.;phase
Citizen;A legally recognized subject or national of a state or commonwealth.;role
Company;A commercial business.;kind
Doctoral Degree Student;A person pursuing a doctoral degree.;role
Parent;A person who has a child or children.;role
Study Interrupted;The state of having one's studies paused or discontinued.;phase
Employed;Having paid work.;phase
Employee;A person employed for wages or salary.;role
Offspring;A person's child or children.;collective
Entrepreneur;A person who sets up a business or businesses, taking on financial risks in the hope of profit.;role
In requalification;The state of undergoing training to acquire new skills for a different job.;phase
Senior;An elderly person.;phase
Unemployed;Not having paid work.;phase
Bachelor Degree Student;A person pursuing a bachelor's degree.;role
Pupil;A person who is being taught, especially a child at school.;role
Old Age Pensioner;A person receiving a pension due to old age.;role
On an Exchange Stay;The state of temporarily residing in another country for educational or cultural exchange.;phase
PA Client;A client of a personal assistant service.;role
Company Pensioner;A person receiving a pension from a company they worked for.;role
Student;A person formally engaged in learning, especially one enrolled in a school or college.;role

Economic Event;An occurrence or happening that has a specific time and place and impacts the economy or financial systems.;event
Balanced Reciprocity (Future Market Contract);A form of economic exchange where an agreement is made for future delivery of goods or services with a predetermined value, ensuring balance in the long term.;kind
Credit Event;An occurrence that may trigger a payment obligation, often related to debt instruments like bonds or credit default swaps.;event
Economic Agent;An individual, group, or entity that participates in economic activities, such as production, consumption, or trade.;role
Equity;The value of an asset after subtracting liabilities. In a company, it represents the ownership interest of shareholders.;quality
Uncertainty Sample Space;The set of all possible outcomes or states of the world that could occur in a situation involving uncertainty, often used in risk analysis.;kind
Debit Commitment;A promise or obligation to make a future payment or transfer of funds from an account.;kind
Debit Event;An occurrence that results in a reduction of funds or an increase in liabilities in an account.;event
Off Balance;A state where assets and liabilities do not match, indicating an imbalance in financial accounts.;situation
Economic Commitment;A binding agreement or promise made by economic agents that involves future actions or transfers of economic resources.;kind
Economic Resource;Anything that can be used to produce goods and services that satisfy wants or needs.;kind
Planning and Control Policy;A set of guidelines or rules that govern the planning and control of economic activities or processes.;kind
Plan Event Tree;A graphical representation used in planning that outlines possible events and their consequences, showing different branches of outcomes.;kind
Liability;A present obligation of an entity arising from past events, the settlement of which is expected to result in an outflow of economic resources.;quality
Balance Duality (Spot Market Contract);A type of economic exchange in a spot market where the delivery of goods or services and the payment occur simultaneously, ensuring immediate balance.;kind
Credit Commitment;A promise or agreement to provide credit or a loan, often with specific terms and conditions.;kind
Derivative Instrument;A financial instrument whose value is derived from the value of an underlying asset, such as a stock, bond, or commodity.;kind
Asset;A resource controlled by an entity as a result of past events and from which future economic benefits are expected to be generated.;quality

Posse de Ação;A legal term referring to the right to take legal action or to enforce a right in a court of law.;relator
Extinção da Concessão Indenizável;The termination of a concession agreement with compensation paid to the concessionaire.;event
Buraco;A hole in the pavement.;kind
Emissora de Debênture;An entity that issues debentures (a type of bond).;role
Entroncamento em Y;A Y-shaped intersection.;kind
Recuperação;The process of restoring something to its former state.;event
Medida Administrativa Aplicada;An administrative measure that has been implemented.;situation
Trecho Natural Implantação;A section of road that is built on natural terrain.;kind
Ponte Suspensa;A suspension bridge.;kind
CCT com Compartilhamento de Receita;A concession agreement with revenue sharing.;kind
Parágrafo Simples;A single paragraph.;kind
Infração Média;A medium-level infraction.;subkind
Decisão Final com Penalidade;A final decision that includes a penalty.;situation
Reclamação;A complaint.;kind
Faixa de Domínio com Defeito;A right-of-way with a defect.;kind
Marca de Delimitação;A boundary marker.;kind
ISSQN;A Brazilian tax on services.;kind
Pista Reversível;A reversible lane.;kind
Item do PER Adicionado;An item added to the PER (Performance Evaluation Report).;situation
Obra de Arte Corrente Pontual;A point structure, such as a bridge pier.;kind
Componente Rodoviário Modificado em Concessão;A highway component that has been modified under a concession agreement.;kind
Delegação;The act of entrusting a task or duty to another person or entity.;relator
Órgão Privado;A private organization.;kind
Comprador;A buyer.;role
Área Indígena;An indigenous area.;kind
Declaração de Inidoneidade;A declaration of incompetence or unsuitability.;kind
Entidade Pública em CCT;A public entity involved in a concession agreement.;role
Interventor Conveniado;An appointed intervener.;role
Fiscalização em Posto Fixo;Inspection at a fixed location.;kind
Forma de Contato de Origem;The initial method of contact.;kind
Bem Operacional Arrendado Imobilizado;A leased asset that is considered fixed.;kind
Produto Adquirido em Convênio;A product acquired through an agreement.;kind
Artigo;An article within a legal document.;kind
Aporte de Capital;A capital injection.;event
Infração Praticada de Trânsito;A traffic violation that has been committed.;situation
Alínea Composta;A compound paragraph.;kind
Livro de Ocorrências;An occurrence log.;kind
Autor de Representação;The author of a representation or legal document.;role
Fiscalização Preventiva;Preventive inspection.;kind
Solicitação de Modelo;A request for a model or template.;kind
Área Composta;A compound area.;kind
Área;An area.;kind
Serviço de Operação;An operational service.;kind
Caminhão-Irrigadeira;A water truck.;kind
Parcela de Pagamento do Seguro;An insurance payment installment.;kind
Área da União;A federal area.;kind
Solicitação de Compra;A purchase request.;kind
Recebimento de Obra;The receipt of a completed construction project.;event
Apostila;An apostille (an international certification comparable to a notarization).;kind
Parte Dupla;Double-entry bookkeeping.;kind
ETRP de Fretamento ET;Electronic Toll Collection System for chartered transportation.;kind
Anulação;Cancellation.;event
Licenciamento Ambiental;Environmental licensing.;kind
País;A country.;kind
Ativo Permanente;A fixed asset.;kind
TAC Pré;A preliminary Conduct Adjustment Term.;kind
VSM em Atendimento;Mechanical rescue service in progress.;situation
Sinalização Rodoviária com Defeito;Defective road signs.;kind
Intersecção Explorada;An intersection that is commercially exploited.;kind
Sinalização Semafórica;Traffic light signaling.;kind
Responsável pela Lavratura de TRO;The person responsible for issuing a Term of Occurrence Record.;role
Via;A road or route.;kind
Apreensão de Veículo;Vehicle apprehension.;event
AL Iniciada por Reclamação;Administrative lawsuit initiated due to a complaint.;situation
